Instance,Income
112183,94621.51
112184,25432.959
112185,277591.25
112186,7382.356
112187,127201.78
112188,149546.48
112189,43301.33
112190,38065.613
112191,89602.32
112192,208644.89
112193,25925.184
112194,162677.73
112195,41712.383
112196,26205.354
112197,239869.0
112198,21847.076
112199,43162.15
112200,56949.84
112201,330649.4
112202,158184.05
112203,36979.246
112204,34739.797
112205,6792.1074
112206,107208.22
112207,282708.03
112208,58492.72
112209,439049.9
112210,59263.688
112211,265434.16
112212,56820.094
112213,20207.943
112214,222852.56
112215,45806.777
112216,98786.64
112217,38485.605
112218,43227.113
112219,437875.22
112220,30427.234
112221,7342.503
112222,28480.838
112223,57876.46
112224,154176.66
112225,14763.194
112226,60482.68
112227,60213.137
112228,111758.04
112229,60818.36
112230,193233.2
112231,16736.602
112232,116333.89
112233,16636.357
112234,42579.48
112235,24281.525
112236,108191.99
112237,325835.94
112238,44013.527
112239,24214.809
112240,10680.9
112241,23383.543
112242,44366.926
112243,63522.453
112244,167533.97
112245,98023.195
112246,41557.902
112247,514070.9
112248,105697.75
112249,17647.729
112250,44131.113
112251,54941.938
112252,62368.516
112253,33004.246
112254,312010.2
112255,40237.55
112256,37669.22
112257,38244.164
112258,455796.6
112259,195048.8
112260,120797.82
112261,321334.8
112262,90165.71
112263,42359.133
112264,73559.97
112265,15837.568
112266,34687.195
112267,56969.73
112268,50547.035
112269,446398.53
112270,21906.607
112271,93272.03
112272,94052.76
112273,141400.38
112274,7408.4424
112275,146992.44
112276,147281.34
112277,73289.984
112278,46351.457
112279,19304.121
112280,124363.695
112281,63277.67
112282,171420.16
112283,93665.39
112284,59775.293
112285,69120.234
112286,26660.4
112287,46397.62
112288,77065.93
112289,275747.44
112290,219458.53
112291,24422.05
112292,636864.75
112293,31164.332
112294,316220.94
112295,23307.234
112296,262707.2
112297,59758.7
112298,52758.754
112299,39474.836
112300,17964.068
112301,30796.03
112302,22044.52
112303,37117.18
112304,181512.97
112305,25770.633
112306,55435.758
112307,35038.242
112308,108968.54
112309,52182.867
112310,37156.645
112311,86081.75
112312,27139.344
112313,113991.52
112314,11756.448
112315,232191.7
112316,42870.55
112317,18648.154
112318,26610.773
112319,27899.793
112320,873514.8
112321,47856.613
112322,21249.059
112323,124075.89
112324,391690.5
112325,197865.52
112326,100970.99
112327,242037.52
112328,133395.7
112329,134495.66
112330,405878.4
112331,322817.88
112332,226829.75
112333,388781.06
112334,173316.08
112335,47559.227
112336,21462.7
112337,267669.1
112338,264240.25
112339,264690.94
112340,51072.984
112341,1117891.1
112342,12894.251
112343,64848.746
112344,22188.371
112345,36497.293
112346,63959.312
112347,24023.387
112348,25742.414
112349,23266.828
112350,86304.04
112351,29577.945
112352,36989.426
112353,-2707.652
112354,113187.87
112355,54486.81
112356,62472.875
112357,62557.637
112358,91730.67
112359,40762.926
112360,16464.447
112361,174320.78
112362,52017.387
112363,66953.11
112364,18282.64
112365,10535.684
112366,16136.018
112367,23926.158
112368,39678.758
112369,160345.95
112370,30238.3
112371,393330.25
112372,108744.805
112373,54316.703
112374,13567.549
112375,23281.65
112376,117263.93
112377,113129.58
112378,62535.645
112379,94256.414
112380,78111.53
112381,82514.47
112382,116830.03
112383,27780.064
112384,200877.83
112385,9997.18
112386,174914.38
112387,56226.16
112388,46092.73
112389,34906.3
112390,13959.006
112391,22024.361
112392,105309.99
112393,46619.074
112394,59561.645
112395,27122.607
112396,91497.734
112397,50124.754
112398,463221.47
112399,90671.695
112400,89840.58
112401,103974.836
112402,866868.06
112403,177904.77
112404,115752.33
112405,63821.73
112406,18168.629
112407,3932.8403
112408,23513.686
112409,54976.8
112410,24820.004
112411,151791.27
112412,116078.47
112413,23400.982
112414,66639.016
112415,150056.5
112416,77733.586
112417,109903.09
112418,63888.48
112419,201228.3
112420,52010.21
112421,224612.39
112422,113856.2
112423,48542.883
112424,14278.987
112425,47689.28
112426,95423.45
112427,317751.53
112428,122719.87
112429,13687.915
112430,18759.336
112431,153582.05
112432,31819.791
112433,66097.164
112434,28756.139
112435,83889.336
112436,51365.15
112437,75117.9
112438,98694.87
112439,15898.548
112440,267701.22
112441,43045.76
112442,294840.44
112443,48350.188
112444,23690.92
112445,79408.664
112446,313928.0
112447,685074.8
112448,72765.58
112449,89872.45
112450,37359.93
112451,110407.414
112452,6796.1724
112453,28906.217
112454,107115.35
112455,674655.56
112456,47934.316
112457,178841.44
112458,124250.91
112459,42615.387
112460,45991.99
112461,437980.38
112462,109103.67
112463,43536.145
112464,60560.13
112465,158902.19
112466,139737.56
112467,48807.523
112468,36811.09
112469,58510.094
112470,34934.098
112471,52826.473
112472,161991.3
112473,99548.336
112474,26517.705
112475,75868.55
112476,92934.2
112477,43804.414
112478,72497.94
112479,2373.499
112480,56581.895
112481,144044.31
112482,42704.395
112483,327562.66
112484,44876.777
112485,112535.42
112486,21937.354
112487,18421.441
112488,151709.22
112489,48362.406
112490,272435.7
112491,78606.83
112492,47681.39
112493,333480.66
112494,10933.671
112495,3565.4392
112496,24646.414
112497,218455.56
112498,19136.049
112499,49852.082
112500,10087.058
112501,59680.938
112502,62737.188
112503,45978.438
112504,30849.94
112505,31489.312
112506,65281.11
112507,80066.6
112508,80332.98
112509,12924.358
112510,38551.91
112511,137249.05
112512,6746.23
112513,53856.652
112514,33218.94
112515,74536.43
112516,94835.33
112517,9629.777
112518,80684.625
112519,19721.9
112520,14191.615
112521,158911.64
112522,49279.62
112523,23983.705
112524,78259.15
112525,14317.831
112526,21267.781
112527,45094.023
112528,25741.188
112529,25192.982
112530,94965.23
112531,136007.14
112532,171871.61
112533,111366.34
112534,227181.86
112535,56737.55
112536,120054.984
112537,28047.469
112538,12857.489
112539,179040.05
112540,26005.28
112541,99114.35
112542,223354.7
112543,81412.21
112544,277102.3
112545,35849.32
112546,37268.887
112547,106394.41
112548,671150.6
112549,90800.23
112550,64562.277
112551,14464.636
112552,157119.22
112553,42322.344
112554,96917.49
112555,25366.047
112556,94399.31
112557,41774.285
112558,119501.5
112559,34303.664
112560,40778.086
112561,217589.55
112562,19230.898
112563,162289.4
112564,460042.7
112565,126721.19
112566,24693.473
112567,40948.184
112568,24486.467
112569,118870.74
112570,39698.727
112571,166028.94
112572,157724.12
112573,23833.78
112574,54772.543
112575,99525.24
112576,82814.07
112577,373123.47
112578,401809.56
112579,86464.72
112580,132717.23
112581,37363.414
112582,16225.729
112583,7226.546
112584,228757.97
112585,25269.35
112586,23575.162
112587,156153.14
112588,84384.57
112589,239012.98
112590,11044.753
112591,141730.47
112592,29411.43
112593,15238.938
112594,25930.479
112595,28614.328
112596,68379.87
112597,59409.836
112598,39214.83
112599,6150.5093
112600,29377.914
112601,130219.37
112602,23104.521
112603,79865.836
112604,156519.02
112605,23310.713
112606,59696.08
112607,36868.14
112608,90185.35
112609,203330.23
112610,62130.38
112611,208197.86
112612,144460.31
112613,103791.414
112614,184573.42
112615,63316.438
112616,88559.99
112617,61548.566
112618,422211.03
112619,39823.297
112620,32658.72
112621,24980.436
112622,97739.266
112623,61121.562
112624,42468.14
112625,57881.36
112626,123958.82
112627,42222.293
112628,47321.395
112629,53070.543
112630,55420.77
112631,62249.953
112632,217825.03
112633,133725.97
112634,30798.74
112635,45739.19
112636,82310.54
112637,219132.02
112638,19116.834
112639,54067.582
112640,35708.234
112641,34199.742
112642,265069.88
112643,54351.88
112644,137362.34
112645,73729.82
112646,10855.921
112647,34416.215
112648,60239.29
112649,26329.83
112650,8776.869
112651,33466.13
112652,11918.664
112653,36186.195
112654,38449.484
112655,25541.0
112656,21940.643
112657,275699.28
112658,680009.8
112659,107439.18
112660,37974.086
112661,201548.72
112662,82814.48
112663,107257.03
112664,211576.45
112665,396374.94
112666,102055.664
112667,22812.49
112668,31549.809
112669,105313.97
112670,9540.696
112671,214683.47
112672,147248.39
112673,76690.305
112674,26097.414
112675,51937.93
112676,30477.566
112677,40720.88
112678,15669.195
112679,103533.37
112680,113381.5
112681,20336.992
112682,116071.734
112683,12763.892
112684,275066.03
112685,32731.133
112686,24368.588
112687,11289.068
112688,22058.39
112689,128030.61
112690,29826.83
112691,60283.285
112692,36827.906
112693,105750.12
112694,43061.516
112695,158626.05
112696,150982.36
112697,106876.01
112698,74108.62
112699,346385.88
112700,205327.05
112701,403457.4
112702,130922.04
112703,32588.033
112704,55926.387
112705,218901.17
112706,70032.83
112707,34357.793
112708,103683.5
112709,158836.83
112710,57413.883
112711,63940.438
112712,5335.481
112713,49564.52
112714,115695.06
112715,99854.766
112716,35619.324
112717,16042.958
112718,86690.555
112719,39923.43
112720,34247.92
112721,37652.965
112722,41944.266
112723,27102.178
112724,46864.97
112725,67618.96
112726,10799.704
112727,76057.734
112728,133649.17
112729,63518.12
112730,29644.855
112731,57833.1
112732,16138.21
112733,72548.37
112734,187570.28
112735,13687.382
112736,58185.27
112737,58936.355
112738,429724.12
112739,25355.611
112740,61424.098
112741,39524.3
112742,12120.147
112743,30426.455
112744,114764.945
112745,178122.38
112746,40449.035
112747,74694.65
112748,347711.25
112749,116204.04
112750,7751.753
112751,418890.53
112752,50856.035
112753,19050.379
112754,101569.65
112755,37818.367
112756,60177.066
112757,86934.734
112758,20402.418
112759,5468.1445
112760,47406.117
112761,89310.82
112762,343174.44
112763,25976.127
112764,141532.19
112765,22462.664
112766,74151.6
112767,792374.7
112768,19018.322
112769,91368.65
112770,45168.535
112771,72563.914
112772,22178.768
112773,91146.76
112774,15966.4795
112775,68960.95
112776,33116.49
112777,29245.906
112778,696836.94
112779,174632.5
112780,147335.34
112781,91296.27
112782,29469.266
112783,40605.59
112784,44067.523
112785,16936.785
112786,81471.76
112787,59788.72
112788,30070.848
112789,66556.44
112790,117212.734
112791,128063.46
112792,7535.6064
112793,65620.555
112794,563095.6
112795,30798.352
112796,42175.234
112797,51362.55
112798,59982.066
112799,119980.8
112800,45266.43
112801,1440.2173
112802,187914.23
112803,511818.22
112804,17372.268
112805,57396.25
112806,20216.662
112807,19219.086
112808,311651.9
112809,38849.32
112810,167547.23
112811,143229.86
112812,81744.875
112813,209877.05
112814,53958.94
112815,29255.664
112816,32434.623
112817,70968.5
112818,59610.97
112819,67872.16
112820,314095.06
112821,18314.434
112822,35485.83
112823,37359.76
112824,28685.547
112825,31388.793
112826,63718.56
112827,36326.195
112828,66087.305
112829,22449.182
112830,66129.63
112831,91064.625
112832,74889.41
112833,102436.805
112834,46039.09
112835,134754.67
112836,37834.496
112837,112559.02
112838,362928.38
112839,66504.24
112840,119794.76
112841,72796.78
112842,229568.4
112843,43515.184
112844,19521.8
112845,56066.707
112846,216871.75
112847,52293.96
112848,185759.52
112849,127664.2
112850,167613.94
112851,159249.45
112852,19004.014
112853,298250.84
112854,41009.137
112855,412264.53
112856,38520.863
112857,10206.247
112858,40198.703
112859,129531.88
112860,33500.617
112861,224299.9
112862,7718.481
112863,71843.45
112864,196584.89
112865,9839.809
112866,242412.78
112867,14246.074
112868,21916.016
112869,83900.43
112870,84633.734
112871,144559.44
112872,33481.33
112873,168937.28
112874,92330.62
112875,77751.234
112876,241796.62
112877,35341.312
112878,394862.7
112879,340945.56
112880,54003.215
112881,35922.47
112882,456731.44
112883,37420.594
112884,33889.03
112885,42957.375
112886,72567.45
112887,18461.557
112888,105594.45
112889,74241.96
112890,176053.86
112891,133575.3
112892,71185.664
112893,44928.87
112894,272641.9
112895,31217.254
112896,-6373.359
112897,58017.973
112898,205939.73
112899,28479.361
112900,56062.055
112901,64198.965
112902,25520.373
112903,201506.61
112904,205019.02
112905,51234.457
112906,54478.133
112907,9485.665
112908,4593.392
112909,555582.7
112910,141576.22
112911,59403.336
112912,12960.92
112913,89100.0
112914,6962.7
112915,193335.2
112916,320915.66
112917,73313.58
112918,75969.59
112919,53388.895
112920,31668.707
112921,18927.105
112922,158855.53
112923,89431.805
112924,80416.47
112925,188289.98
112926,6096.7334
112927,5379.2476
112928,46321.305
112929,84246.836
112930,419550.53
112931,76822.375
112932,165886.95
112933,22335.76
112934,87175.99
112935,67341.13
112936,118098.16
112937,387910.75
112938,55871.48
112939,13145.078
112940,66091.7
112941,454101.25
112942,19304.812
112943,311596.44
112944,44235.355
112945,112181.49
112946,50391.145
112947,32990.406
112948,45438.594
112949,42463.44
112950,158612.58
112951,51048.63
112952,23014.516
112953,35688.055
112954,77288.55
112955,20046.742
112956,18973.432
112957,14620.78
112958,693931.0
112959,53422.613
112960,32516.99
112961,298657.5
112962,87887.22
112963,114419.984
112964,27397.467
112965,42837.816
112966,459334.4
112967,35991.547
112968,17021.164
112969,64901.695
112970,17113.936
112971,63199.27
112972,190563.11
112973,44303.66
112974,71067.23
112975,43521.08
112976,27147.205
112977,14882.272
112978,95872.414
112979,253210.4
112980,637772.8
112981,55757.31
112982,36706.035
112983,88481.34
112984,21721.873
112985,16356.104
112986,28448.156
112987,28594.887
112988,30336.396
112989,74121.35
112990,59780.934
112991,35907.773
112992,7113.3037
112993,85950.51
112994,3673.5537
112995,149627.88
112996,20631.59
112997,355750.1
112998,48201.33
112999,35357.535
113000,17527.299
113001,23942.604
113002,16531.383
113003,81101.25
113004,98615.43
113005,12379.928
113006,48604.1
113007,26284.44
113008,24945.422
113009,29153.951
113010,30991.088
113011,31503.86
113012,26444.887
113013,46725.37
113014,87651.56
113015,146109.64
113016,398969.56
113017,88716.16
113018,53558.574
113019,165933.52
113020,44695.332
113021,44785.66
113022,54087.758
113023,49458.74
113024,50369.758
113025,10220.614
113026,9419.902
113027,41975.49
113028,26656.92
113029,166454.33
113030,45486.004
113031,59939.867
113032,11375.546
113033,98449.766
113034,33006.777
113035,50759.88
113036,165380.66
113037,95115.63
113038,71492.945
113039,78888.94
113040,40306.85
113041,20440.309
113042,212956.42
113043,32445.479
113044,311849.47
113045,872940.1
113046,44496.55
113047,24701.326
113048,28951.016
113049,126726.44
113050,101738.78
113051,101136.21
113052,7535.8496
113053,87414.72
113054,41787.19
113055,33266.305
113056,71815.16
113057,18357.467
113058,25375.26
113059,66029.37
113060,73801.266
113061,50502.883
113062,67782.17
113063,194490.92
113064,117917.96
113065,49463.57
113066,25179.838
113067,66456.85
113068,77592.234
113069,11180.272
113070,92461.72
113071,140095.2
113072,34234.484
113073,307209.8
113074,173157.23
113075,34635.793
113076,96503.94
113077,48779.594
113078,46735.73
113079,49535.543
113080,70104.26
113081,59284.65
113082,27450.52
113083,62511.06
113084,70417.414
113085,22306.66
113086,221501.56
113087,799490.7
113088,47802.49
113089,192784.0
113090,8655.084
113091,55944.145
113092,98362.89
113093,39965.273
113094,150867.9
113095,149088.27
113096,40418.1
113097,37410.125
113098,249004.95
113099,4271.657
113100,43336.227
113101,279562.16
113102,290984.53
113103,45920.035
113104,21118.992
113105,13527.251
113106,175421.61
113107,116519.32
113108,127424.45
113109,18528.11
113110,65123.703
113111,123375.01
113112,95570.695
113113,120008.89
113114,27536.85
113115,42386.336
113116,79154.23
113117,201172.02
113118,3347.0369
113119,180379.42
113120,86729.73
113121,32553.793
113122,129814.766
113123,364581.38
113124,15710.095
113125,147907.14
113126,106439.586
113127,71377.83
113128,27155.207
113129,169714.47
113130,112883.01
113131,64199.715
113132,122435.8
113133,74313.48
113134,382911.62
113135,95972.875
113136,109127.055
113137,12738.863
113138,78974.95
113139,128999.39
113140,153981.81
113141,77324.29
113142,16301.457
113143,45237.605
113144,186907.4
113145,81801.484
113146,70178.25
113147,25385.553
113148,196969.55
113149,48365.906
113150,25972.838
113151,36575.4
113152,49788.87
113153,178882.97
113154,80859.945
113155,54485.285
113156,672774.2
113157,179775.75
113158,36182.91
113159,233972.27
113160,24276.914
113161,149637.34
113162,46990.9
113163,26736.773
113164,61031.758
113165,294401.25
113166,19095.508
113167,114507.36
113168,43663.453
113169,52945.57
113170,215534.67
113171,79715.11
113172,109120.42
113173,12366.787
113174,131721.84
113175,93399.22
113176,90436.85
113177,94566.7
113178,27964.766
113179,9440.881
113180,20430.844
113181,51272.887
113182,24905.086
113183,23763.512
113184,48337.027
113185,123280.6
113186,130959.03
113187,166794.2
113188,29908.271
113189,131057.25
113190,14227.987
113191,10602.95
113192,26672.545
113193,97216.54
113194,52746.348
113195,204170.98
113196,33886.613
113197,869379.7
113198,76330.18
113199,39154.152
113200,27736.096
113201,42243.055
113202,17107.123
113203,24767.926
113204,134713.69
113205,650037.9
113206,75760.94
113207,33117.176
113208,202231.72
113209,93322.31
113210,109009.16
113211,30983.238
113212,93621.91
113213,60779.508
113214,33610.777
113215,79528.62
113216,80751.984
113217,12893.767
113218,49470.945
113219,13082.201
113220,151868.5
113221,13701.741
113222,9843.963
113223,132951.02
113224,29872.842
113225,66428.76
113226,34258.15
113227,50162.074
113228,45767.715
113229,2691.443
113230,25193.807
113231,37837.105
113232,278084.53
113233,59411.453
113234,39405.09
113235,317845.75
113236,62177.84
113237,177973.48
113238,88825.914
113239,24595.953
113240,75402.95
113241,105529.93
113242,92180.1
113243,167773.47
113244,40150.184
113245,93394.82
113246,83698.79
113247,59560.496
113248,64576.266
113249,78128.555
113250,310952.44
113251,79266.266
113252,38442.402
113253,15491.109
113254,61786.38
113255,192451.53
113256,26774.316
113257,72264.04
113258,26290.271
113259,20165.834
113260,63592.008
113261,12282.418
113262,69040.836
113263,500741.53
113264,11002.81
113265,59041.49
113266,119006.54
113267,91068.89
113268,220637.2
113269,34216.61
113270,26778.629
113271,218548.5
113272,32257.416
113273,54850.492
113274,183889.8
113275,-2225.2258
113276,11202.626
113277,9455.768
113278,445125.22
113279,78420.58
113280,103876.695
113281,143321.52
113282,40898.53
113283,68215.89
113284,416438.2
113285,23831.57
113286,48394.164
113287,149606.77
113288,59126.258
113289,57928.664
113290,23673.176
113291,44467.953
113292,366449.22
113293,2888.58
113294,33183.25
113295,396236.47
113296,35305.363
113297,36471.184
113298,59201.062
113299,45381.164
113300,65089.41
113301,24814.848
113302,106945.99
113303,68588.05
113304,139155.03
113305,43784.67
113306,29888.34
113307,149677.5
113308,46110.62
113309,64184.324
113310,13884.136
113311,78848.12
113312,35576.81
113313,170120.97
113314,14402.758
113315,116932.73
113316,45252.402
113317,66791.97
113318,27622.277
113319,22278.875
113320,91513.94
113321,29501.463
113322,28041.283
113323,52801.227
113324,5427.657
113325,6978.6177
113326,23555.678
113327,51881.367
113328,4703.8247
113329,290696.22
113330,176706.72
113331,9446.023
113332,54039.97
113333,168002.14
113334,32458.625
113335,10009.456
113336,132399.56
113337,7563.769
113338,78429.234
113339,24146.387
113340,54316.836
113341,129734.66
113342,74811.33
113343,16219.643
113344,16307.477
113345,16019.655
113346,53538.55
113347,86832.53
113348,127095.48
113349,46816.168
113350,27511.37
113351,174287.69
113352,35031.836
113353,84648.7
113354,28551.459
113355,218494.9
113356,91331.25
113357,9930.06
113358,123738.37
113359,2912.9197
113360,141484.47
113361,152676.19
113362,167725.81
113363,57865.32
113364,49179.363
113365,83789.914
113366,31777.703
113367,73115.54
113368,29957.559
113369,104126.24
113370,26001.062
113371,94563.125
113372,28206.977
113373,100704.18
113374,269123.4
113375,131879.62
113376,90356.11
113377,35635.043
113378,144176.12
113379,176460.53
113380,32696.654
113381,177042.17
113382,224449.22
113383,27104.486
113384,113130.625
113385,197066.86
113386,42026.508
113387,177501.61
113388,75136.11
113389,16093.205
113390,100218.15
113391,28522.348
113392,21134.059
113393,61617.17
113394,18467.545
113395,57586.613
113396,12726.929
113397,28368.762
113398,27809.68
113399,58560.29
113400,371052.4
113401,28519.924
113402,330515.75
113403,202356.05
113404,23814.791
113405,59212.496
113406,13308.115
113407,182124.6
113408,135867.25
113409,74586.16
113410,10915.677
113411,44433.09
113412,56106.492
113413,533093.75
113414,48533.863
113415,17188.408
113416,85661.305
113417,963323.9
113418,326052.5
113419,44511.46
113420,23378.3
113421,27992.309
113422,149766.0
113423,54836.504
113424,41699.566
113425,36999.676
113426,146023.61
113427,156339.48
113428,171687.75
113429,164609.38
113430,206641.89
113431,96406.6
113432,45308.52
113433,42945.117
113434,11902.903
113435,22678.69
113436,78661.11
113437,46683.35
113438,50231.434
113439,83991.5
113440,131599.5
113441,23322.406
113442,153064.38
113443,152552.72
113444,137069.72
113445,82418.9
113446,14034.958
113447,28404.469
113448,29264.055
113449,102260.15
113450,155147.62
113451,41606.977
113452,118231.65
113453,173625.64
113454,323177.8
113455,47842.977
113456,31563.066
113457,48186.098
113458,85837.81
113459,41028.223
113460,47719.734
113461,6166.611
113462,44490.99
113463,14521.8955
113464,81149.94
113465,-1106.5177
113466,61056.8
113467,48186.59
113468,103370.32
113469,27952.031
113470,44575.2
113471,28198.467
113472,931654.0
113473,205240.62
113474,56393.32
113475,47559.203
113476,39638.574
113477,156666.89
113478,363667.97
113479,167514.03
113480,145385.77
113481,364650.97
113482,51764.617
113483,16547.332
113484,70735.266
113485,85360.766
113486,11668.725
113487,104472.77
113488,26982.814
113489,28204.63
113490,88492.445
113491,220353.9
113492,35258.742
113493,115033.58
113494,43807.797
113495,142995.2
113496,44952.12
113497,139964.75
113498,54137.707
113499,37255.57
113500,73941.08
113501,42499.633
113502,213092.73
113503,30334.209
113504,225674.4
113505,17180.242
113506,17813.484
113507,105682.55
113508,192207.27
113509,25462.348
113510,177566.5
113511,111809.28
113512,37192.97
113513,44211.484
113514,109363.96
113515,29251.596
113516,300250.34
113517,14254.114
113518,54921.227
113519,138889.12
113520,280692.03
113521,210101.39
113522,31609.639
113523,44932.4
113524,101364.33
113525,82053.586
113526,28713.404
113527,92139.63
113528,64814.582
113529,49841.875
113530,77196.76
113531,136726.28
113532,33425.355
113533,143357.75
113534,366895.56
113535,74563.85
113536,26350.186
113537,84495.82
113538,80400.59
113539,35656.668
113540,74300.46
113541,30452.104
113542,393646.88
113543,5202.347
113544,69939.88
113545,125842.9
113546,158248.05
113547,27481.568
113548,16776.572
113549,38002.49
113550,34781.215
113551,28517.666
113552,68276.36
113553,9712.996
113554,387682.9
113555,91841.46
113556,60088.113
113557,40198.918
113558,29895.605
113559,253782.78
113560,53439.16
113561,76893.086
113562,65771.766
113563,338748.75
113564,30704.72
113565,26227.295
113566,168010.38
113567,293147.0
113568,330302.4
113569,182706.25
113570,320541.72
113571,32515.102
113572,218375.4
113573,78725.0
113574,27299.78
113575,20591.5
113576,213157.84
113577,27216.854
113578,43408.21
113579,171087.08
113580,88532.3
113581,260561.78
113582,15765.561
113583,104865.42
113584,36803.13
113585,107484.01
113586,18705.348
113587,70736.47
113588,132685.08
113589,29392.12
113590,276082.06
113591,144287.64
113592,22167.81
113593,42376.574
113594,61829.68
113595,333627.12
113596,209949.75
113597,25824.688
113598,40939.7
113599,37548.17
113600,134111.16
113601,23560.324
113602,149087.77
113603,37351.062
113604,47347.34
113605,35879.64
113606,154440.53
113607,97155.03
113608,145255.97
113609,32814.43
113610,62339.227
113611,119965.93
113612,332151.62
113613,102585.81
113614,25695.615
113615,31065.648
113616,113367.56
113617,86083.82
113618,243766.14
113619,176130.73
113620,35647.57
113621,82801.3
113622,22091.262
113623,16395.9
113624,206447.48
113625,143998.58
113626,75034.43
113627,65560.59
113628,53614.836
113629,16952.775
113630,108314.71
113631,34069.555
113632,20892.87
113633,24133.523
113634,408519.6
113635,69454.1
113636,92305.46
113637,12517.707
113638,66233.63
113639,62995.086
113640,53638.88
113641,51325.836
113642,201816.53
113643,10518.751
113644,383105.12
113645,278070.38
113646,205560.66
113647,55957.12
113648,77934.086
113649,20951.197
113650,17830.926
113651,63293.66
113652,36546.71
113653,144123.0
113654,86618.13
113655,76767.734
113656,149865.7
113657,714468.0
113658,26207.428
113659,118277.73
113660,13827.924
113661,134984.28
113662,80816.41
113663,41683.96
113664,12871.618
113665,470321.28
113666,34815.95
113667,53097.0
113668,136154.16
113669,32887.7
113670,51651.75
113671,139699.36
113672,203609.89
113673,59696.094
113674,242717.55
113675,374725.66
113676,76554.77
113677,18239.68
113678,64543.426
113679,199611.11
113680,29765.66
113681,23666.373
113682,36389.58
113683,86316.98
113684,113871.46
113685,43866.67
113686,89698.3
113687,40007.973
113688,95039.91
113689,33451.383
113690,44922.344
113691,103633.41
113692,26035.484
113693,87909.13
113694,155090.84
113695,27118.1
113696,106118.164
113697,262056.25
113698,42991.273
113699,39562.18
113700,90153.81
113701,99282.37
113702,148624.34
113703,58318.547
113704,41075.918
113705,86643.36
113706,347434.66
113707,47866.453
113708,68791.21
113709,44041.383
113710,103313.57
113711,41229.22
113712,26846.295
113713,40737.57
113714,37475.363
113715,30641.072
113716,15548.619
113717,821473.94
113718,122085.234
113719,28184.828
113720,37968.918
113721,28920.86
113722,189921.56
113723,145608.88
113724,118445.82
113725,252848.03
113726,24523.912
113727,43638.344
113728,51653.875
113729,9001.3125
113730,71275.36
113731,33810.33
113732,129756.055
113733,70092.92
113734,83978.63
113735,8231.91
113736,31210.146
113737,58144.516
